# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-07-31 15:17:49 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08096500 Brazos Rv at Waco, TX
# -----------------------------------------------------------------------------------
#
# Data provided for site 08096500
#            TS   parameter     statistic     Description
#        135077       00060     00001     Discharge, cubic feet per second (Maximum)
#        135078       00060     00002     Discharge, cubic feet per second (Minimum)
#        135079       00060     00003     Discharge, cubic feet per second (Mean)
#        135080       00065     00001     Gage height, feet (Maximum)
#        135081       00065     00002     Gage height, feet (Minimum)
#        135082       00065     00003     Gage height, feet (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
#    92  Daily mean calculated from data on this day matches published daily mean within 5 percent
#    93  Daily mean calculated from data on this day matches published daily mean within 10 percent
# 
agency_cd	site_no	datetime	135077_00060_00001	135077_00060_00001_cd	135078_00060_00002	135078_00060_00002_cd	135079_00060_00003	135079_00060_00003_cd	135080_00065_00001	135080_00065_00001_cd	135081_00065_00002	135081_00065_00002_cd	135082_00065_00003	135082_00065_00003_cd
USGS	08096500	1899-05-31					3860	A						
USGS	08096500	1899-06-01					3200	A						
USGS	08096500	1899-06-02					2540	A						
USGS	08096500	1899-06-03					1750	A						
USGS	08096500	1899-06-04					1250	A						
USGS	08096500	1899-06-05					1000	A						
USGS	08096500	1899-06-06					750	A						
USGS	08096500	1899-06-07					870	A						
USGS	08096500	1899-06-08					5170	A						
USGS	08096500	1899-06-09					10800	A						
USGS	08096500	1899-06-10					8950	A						
USGS	08096500	1899-06-11					6110	A						
USGS	08096500	1899-06-12					5170	A						
USGS	08096500	1899-06-13					4710	A						
USGS	08096500	1899-06-14					4000	A						
USGS	08096500	1899-06-15					3590	A						
USGS	08096500	1899-06-16					4000	A						
USGS	08096500	1899-06-17					10100	A						
USGS	08096500	1899-06-18					3930	A						
USGS	08096500	1899-06-19					35300	A						
USGS	08096500	1899-06-20					44800	A						
USGS	08096500	1899-06-21					33500	A						
USGS	08096500	1899-06-22					10600	A						
USGS	08096500	1899-06-23					8250	A						
USGS	08096500	1899-06-24					6560	A						
USGS	08096500	1899-06-25					5090	A						
USGS	08096500	1899-06-26					4350	A						
USGS	08096500	1899-06-27					3590	A						
USGS	08096500	1899-06-28					3330	A						
USGS	08096500	1899-06-29					11200	A						
USGS	08096500	1899-06-30					99500	A						
USGS	08096500	1899-07-01					99500	A						
USGS	08096500	1899-07-02					43800	A						
USGS	08096500	1899-07-03					16000	A						
USGS	08096500	1899-07-04					12900	A						
USGS	08096500	1899-07-05					22800	A						
USGS	08096500	1899-07-06					16400	A						
USGS	08096500	1899-07-07					15300	A						
USGS	08096500	1899-07-08					10300	A						
USGS	08096500	1899-07-09					8050	A						
USGS	08096500	1899-07-10					6920	A						
USGS	08096500	1899-07-11					6830	A						
USGS	08096500	1899-07-12					5330	A						
USGS	08096500	1899-07-13					4490	A						
USGS	08096500	1899-07-14					3860	A						
USGS	08096500	1899-07-15					3520	A						
USGS	08096500	1899-07-16					3080	A						
USGS	08096500	1899-07-17					2840	A						
USGS	08096500	1899-07-18					2780	A						
USGS	08096500	1899-07-19					2480	A						
USGS	08096500	1899-07-20					2240	A						
USGS	08096500	1899-07-21					2180	A						
USGS	08096500	1899-07-22					2020	A						
USGS	08096500	1899-07-23					2360	A						
USGS	08096500	1899-07-24					10000	A						
USGS	08096500	1899-07-25					8050	A						
USGS	08096500	1899-07-26					6740	A						
USGS	08096500	1899-07-27					4940	A						
USGS	08096500	1899-07-28					4000	A						
USGS	08096500	1899-07-29					3330	A						
USGS	08096500	1899-07-30					3080	A						
USGS	08096500	1899-07-31					2840	A						
USGS	08096500	1899-08-01					2360	A						
USGS	08096500	1899-08-02					2020	A						
USGS	08096500	1899-08-03					1910	A						
USGS	08096500	1899-08-04					1700	A						
USGS	08096500	1899-08-05					1200	A						
USGS	08096500	1899-08-06					960	A						
USGS	08096500	1899-08-07					790	A						
USGS	08096500	1899-08-08					680	A						
USGS	08096500	1899-08-09					680	A						
USGS	08096500	1899-08-10					610	A						
USGS	08096500	1899-08-11					545	A						
USGS	08096500	1899-08-12					480	A						
USGS	08096500	1899-08-13					420	A						
USGS	08096500	1899-08-14					395	A						
USGS	08096500	1899-08-15					370	A						
USGS	08096500	1899-08-16					325	A						
USGS	08096500	1899-08-17					325	A						
USGS	08096500	1899-08-18					302	A						
USGS	08096500	1899-08-19					280	A						
USGS	08096500	1899-08-20					240	A						
USGS	08096500	1899-08-21					240	A						
USGS	08096500	1899-08-22					205	A						
USGS	08096500	1899-08-23					205	A						
USGS	08096500	1899-08-24					205	A						
USGS	08096500	1899-08-25					172	A						
USGS	08096500	1899-08-26					158	A						
USGS	08096500	1899-08-27					143	A						
USGS	08096500	1899-08-28					143	A						
USGS	08096500	1899-08-29					143	A						
USGS	08096500	1899-08-30					143	A						
USGS	08096500	1899-08-31					143	A						
USGS	08096500	1899-09-01					130	A						
USGS	08096500	1899-09-02					118	A						
USGS	08096500	1899-09-03					96.0	A						
USGS	08096500	1899-09-04					118	A						
USGS	08096500	1899-09-05					96.0	A						
USGS	08096500	1899-09-06					96.0	A						
USGS	08096500	1899-09-07					96.0	A						
USGS	08096500	1899-09-08					96.0	A						
USGS	08096500	1899-09-09					76.0	A						
USGS	08096500	1899-09-10					76.0	A						
USGS	08096500	1899-09-11					67.0	A						
USGS	08096500	1899-09-12					58.0	A						
USGS	08096500	1899-09-13					58.0	A						
USGS	08096500	1899-09-14					58.0	A						
USGS	08096500	1899-09-15					58.0	A						
USGS	08096500	1899-09-16					50.0	A						
USGS	08096500	1899-09-17					58.0	A						
USGS	08096500	1899-09-18					67.0	A						
USGS	08096500	1899-09-19					58.0	A						
USGS	08096500	1899-09-20					58.0	A						
USGS	08096500	1899-09-21					96.0	A						
USGS	08096500	1899-09-22					188	A						
USGS	08096500	1899-09-23					130	A						
USGS	08096500	1899-09-24					118	A						
USGS	08096500	1899-09-25					96.0	A						
USGS	08096500	1899-09-26					118	A						
USGS	08096500	1899-09-27					118	A						
USGS	08096500	1899-09-28					107	A						
USGS	08096500	1899-09-29					76.0	A						
USGS	08096500	1899-09-30					67.0	A						
USGS	08096500	1899-10-01					58.0	A						
USGS	08096500	1899-10-02					58.0	A						
USGS	08096500	1899-10-03					58.0	A						
USGS	08096500	1899-10-04					42.0	A						
USGS	08096500	1899-10-05					42.0	A						
USGS	08096500	1899-10-06					42.0	A						
USGS	08096500	1899-10-07					42.0	A						
USGS	08096500	1899-10-08					28.0	A						
USGS	08096500	1899-10-09					28.0	A						
USGS	08096500	1899-10-10					35.0	A						
USGS	08096500	1899-10-11					35.0	A						
USGS	08096500	1899-10-12					28.0	A						
USGS	08096500	1899-10-13					28.0	A						
USGS	08096500	1899-10-14					28.0	A						
USGS	08096500	1899-10-15					28.0	A						
USGS	08096500	1899-10-16					28.0	A						
USGS	08096500	1899-10-17					28.0	A						
USGS	08096500	1899-10-18					28.0	A						
USGS	08096500	1899-10-19					28.0	A						
USGS	08096500	1899-10-20					28.0	A						
USGS	08096500	1899-10-21					28.0	A						
USGS	08096500	1899-10-22					28.0	A						
USGS	08096500	1899-10-23					28.0	A						
USGS	08096500	1899-10-24					28.0	A						
USGS	08096500	1899-10-25					35.0	A						
USGS	08096500	1899-10-26					86.0	A						
USGS	08096500	1899-10-27					158	A						
USGS	08096500	1899-10-28					143	A						
USGS	08096500	1899-10-29					8350	A						
USGS	08096500	1899-10-30					12300	A						
USGS	08096500	1899-10-31					6740	A						
USGS	08096500	1899-11-01					4710	A						
USGS	08096500	1899-11-02					4070	A						
USGS	08096500	1899-11-03					3330	A						
USGS	08096500	1899-11-04					2780	A						
USGS	08096500	1899-11-05					2360	A						
USGS	08096500	1899-11-06					2020	A						
USGS	08096500	1899-11-07					1750	A						
USGS	08096500	1899-11-08					1350	A						
USGS	08096500	1899-11-09					1100	A						
USGS	08096500	1899-11-10					870	A						
USGS	08096500	1899-11-11					750	A						
USGS	08096500	1899-11-12					680	A						
USGS	08096500	1899-11-13					610	A						
USGS	08096500	1899-11-14					545	A						
USGS	08096500	1899-11-15					480	A						
USGS	08096500	1899-11-16					420	A						
USGS	08096500	1899-11-17					395	A						
USGS	08096500	1899-11-18					370	A						
USGS	08096500	1899-11-19					480	A						
USGS	08096500	1899-11-20					3080	A						
USGS	08096500	1899-11-21					41000	A						
USGS	08096500	1899-11-22					50100	A						
USGS	08096500	1899-11-23					14400	A						
USGS	08096500	1899-11-24					7860	A						
USGS	08096500	1899-11-25					6920	A						
USGS	08096500	1899-11-26					4940	A						
USGS	08096500	1899-11-27					4140	A						
USGS	08096500	1899-11-28					3460	A						
USGS	08096500	1899-11-29					2720	A						
USGS	08096500	1899-11-30					2540	A						
USGS	08096500	1899-12-01					2360	A						
USGS	08096500	1899-12-02					1910	A						
USGS	08096500	1899-12-03					1450	A						
USGS	08096500	1899-12-04					1200	A						
USGS	08096500	1899-12-05					1050	A						
USGS	08096500	1899-12-06					955	A						
USGS	08096500	1899-12-07					870	A						
USGS	08096500	1899-12-08					870	A						
USGS	08096500	1899-12-09					955	A						
USGS	08096500	1899-12-10					1250	A						
USGS	08096500	1899-12-11					3790	A						
USGS	08096500	1899-12-12					9580	A						
USGS	08096500	1899-12-13					7290	A						
USGS	08096500	1899-12-14					5420	A						
USGS	08096500	1899-12-15					4140	A						
USGS	08096500	1899-12-16					3200	A						
USGS	08096500	1899-12-17					2960	A						
USGS	08096500	1899-12-18					2840	A						
USGS	08096500	1899-12-19					2180	A						
USGS	08096500	1899-12-20					1960	A						
USGS	08096500	1899-12-21					3020	A						
USGS	08096500	1899-12-22					8850	A						
USGS	08096500	1899-12-23					4000	A						
USGS	08096500	1899-12-24					3520	A						
USGS	08096500	1899-12-25					3400	A						
USGS	08096500	1899-12-26					3020	A						
USGS	08096500	1899-12-27					2720	A						
USGS	08096500	1899-12-28					2180	A						
USGS	08096500	1899-12-29					2130	A						
USGS	08096500	1899-12-30					2020	A						
USGS	08096500	1899-12-31					1860	A						
USGS	08096500	1900-01-01					1600	A						
USGS	08096500	1900-01-02					1450	A						
USGS	08096500	1900-01-03					1400	A						
USGS	08096500	1900-01-04					1400	A						
USGS	08096500	1900-01-05					1300	A						
USGS	08096500	1900-01-06					1400	A						
USGS	08096500	1900-01-07					1450	A						
USGS	08096500	1900-01-08					1350	A						
USGS	08096500	1900-01-09					3260	A						
USGS	08096500	1900-01-10					3200	A						
USGS	08096500	1900-01-11					8850	A						
USGS	08096500	1900-01-12					6470	A						
USGS	08096500	1900-01-13					3720	A						
USGS	08096500	1900-01-14					3140	A						
USGS	08096500	1900-01-15					2780	A						
USGS	08096500	1900-01-16					2840	A						
USGS	08096500	1900-01-17					2540	A						
USGS	08096500	1900-01-18					2300	A						
USGS	08096500	1900-01-19					2180	A						
USGS	08096500	1900-01-20					1960	A						
USGS	08096500	1900-01-21					1960	A						
USGS	08096500	1900-01-22					1860	A						
USGS	08096500	1900-01-23					1750	A						
USGS	08096500	1900-01-24					1700	A						
USGS	08096500	1900-01-25					1550	A						
USGS	08096500	1900-01-26					1500	A						
USGS	08096500	1900-01-27					1450	A						
USGS	08096500	1900-01-28					1350	A						
USGS	08096500	1900-01-29					1350	A						
USGS	08096500	1900-01-30					1350	A						
USGS	08096500	1900-01-31					1300	A						
USGS	08096500	1900-02-01					1250	A						
USGS	08096500	1900-02-02					1150	A						
USGS	08096500	1900-02-03					1150	A						
USGS	08096500	1900-02-04					1150	A						
USGS	08096500	1900-02-05					1050	A						
USGS	08096500	1900-02-06					1050	A						
USGS	08096500	1900-02-07					1050	A						
USGS	08096500	1900-02-08					1050	A						
USGS	08096500	1900-02-09					1100	A						
USGS	08096500	1900-02-10					1200	A						
USGS	08096500	1900-02-11					955	A						
USGS	08096500	1900-02-12					1050	A						
USGS	08096500	1900-02-13					1050	A						
USGS	08096500	1900-02-14					1000	A						
USGS	08096500	1900-02-15					870	A						
USGS	08096500	1900-02-16					830	A						
USGS	08096500	1900-02-17					790	A						
USGS	08096500	1900-02-18					790	A						
USGS	08096500	1900-02-19					750	A						
USGS	08096500	1900-02-20					715	A						
USGS	08096500	1900-02-21					680	A						
USGS	08096500	1900-02-22					645	A						
USGS	08096500	1900-02-23					645	A						
USGS	08096500	1900-02-24					578	A						
USGS	08096500	1900-02-25					578	A						
USGS	08096500	1900-02-26					578	A						
USGS	08096500	1900-02-27					578	A						
USGS	08096500	1900-02-28					512	A						
USGS	08096500	1900-03-01					545	A						
USGS	08096500	1900-03-02					545	A						
USGS	08096500	1900-03-03					480	A						
USGS	08096500	1900-03-04					480	A						
USGS	08096500	1900-03-05					480	A						
USGS	08096500	1900-03-06					480	A						
USGS	08096500	1900-03-07					1050	A						
USGS	08096500	1900-03-08					1250	A						
USGS	08096500	1900-03-09					790	A						
USGS	08096500	1900-03-10					715	A						
USGS	08096500	1900-03-11					645	A						
USGS	08096500	1900-03-12					545	A						
USGS	08096500	1900-03-13					545	A						
USGS	08096500	1900-03-14					545	A						
USGS	08096500	1900-03-15					578	A						
USGS	08096500	1900-03-16					610	A						
USGS	08096500	1900-03-17					610	A						
USGS	08096500	1900-03-18					610	A						
USGS	08096500	1900-03-19					578	A						
USGS	08096500	1900-03-20					545	A						
USGS	08096500	1900-03-21					512	A						
USGS	08096500	1900-03-22					480	A						
USGS	08096500	1900-03-23					1050	A						
USGS	08096500	1900-03-24					3930	A						
USGS	08096500	1900-03-25					3080	A						
USGS	08096500	1900-03-26					2360	A						
USGS	08096500	1900-03-27					2480	A						
USGS	08096500	1900-03-28					2180	A						
USGS	08096500	1900-03-29					1960	A						
USGS	08096500	1900-03-30					1650	A						
USGS	08096500	1900-03-31					1450	A						
USGS	08096500	1900-04-01					1350	A						
USGS	08096500	1900-04-02					1300	A						
USGS	08096500	1900-04-03					1300	A						
USGS	08096500	1900-04-04					1150	A						
USGS	08096500	1900-04-05					1050	A						
USGS	08096500	1900-04-06					1000	A						
USGS	08096500	1900-04-07					21800	A						
USGS	08096500	1900-04-08					55200	A						
USGS	08096500	1900-04-09					45600	A						
USGS	08096500	1900-04-10					40300	A						
USGS	08096500	1900-04-11					13500	A						
USGS	08096500	1900-04-12					8550	A						
USGS	08096500	1900-04-13					14800	A						
USGS	08096500	1900-04-14					9260	A						
USGS	08096500	1900-04-15					7860	A						
USGS	08096500	1900-04-16					6560	A						
USGS	08096500	1900-04-17					6200	A						
USGS	08096500	1900-04-18					5010	A						
USGS	08096500	1900-04-19					4560	A						
USGS	08096500	1900-04-20					3930	A						
USGS	08096500	1900-04-21					4280	A						
USGS	08096500	1900-04-22					4000	A						
USGS	08096500	1900-04-23					4280	A						
USGS	08096500	1900-04-24					4070	A						
USGS	08096500	1900-04-25					4140	A						
USGS	08096500	1900-04-26					3200	A						
USGS	08096500	1900-04-27					6290	A						
USGS	08096500	1900-04-28					14800	A						
USGS	08096500	1900-04-29					14800	A						
USGS	08096500	1900-04-30					19700	A						
USGS	08096500	1900-05-01					12300	A						
USGS	08096500	1900-05-02					13300	A						
USGS	08096500	1900-05-03					14400	A						
USGS	08096500	1900-05-04					10500	A						
USGS	08096500	1900-05-05					9160	A						
USGS	08096500	1900-05-06					7860	A						
USGS	08096500	1900-05-07					6920	A						
